ANNEXURE-I

STATE-WISE DETAILS OF PROJECTS SANCTIONED UNDER THE COMPONENT OF COLD STORAGE/CA STORE/ PACKING HOUSE/RIPENING CHAMBER/PRIMARY PROCESSING UNDER MIDH/ HMNEH/ NHB/ NHM AND PATTERN OF ASSISTANCE DURING 2017-18 TO 2021-22.

S.No.,Name of State/UT,No. of Projects,Capacity (MT),Estimated Cost (in Lakh),Pattern of Assistance
30,A&N Islands,0,0,0,
31,Chandigarh,0,0,0,
32,Dadra and Nagar Haveli,0,0,0,
33,Daman & Diu,0,0,0,
34,Lakshadweep,0,0,0,
35,Puducherry,0,0,0,
36,Ladakh,0,0,0,
,Total,189,127735.1,34747.15,
,,,2018-19,,
1,Andhra Pradesh,1,5000,906.63,35% with a ceiling of Rs. 350.00 Lakh
2,Arunachal Pradesh,1,3000,980.73,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
3,Bihar,20,10760,3524.69,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
4,Chhattisgarh,6,3060,789.42,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
5,Delhi,0,0,0,
6,Goa,0,0,0,
7,Gujarat,5,8500,2099.99,35% with a ceiling of Rs. 350.00 Lakh
8,Haryana,1,250,106.39,35% with a ceiling of Rs. 350.00 Lakh
9,Himachal Pradesh,3,1125,307.01,35% of the cost of project
10,Jammu & Kashmir,1,300,115.93,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
11,Jharkhand,0,0,0,
12,Karnataka,0,0,0,
13,Kerala,0,0,0,
14,Madhya Pradesh,9,5200,1381.31,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
15,Maharashtra,54,42475.1,11290.59,35% of the cost of project
16,Manipur,0,0,0,
17,Meghalaya,0,0,0,
18,Mizoram,0,0,0,
19,Nagaland,0,0,0,
20,Odisha,0,0,0,
21,Punjab,1,5000,1016.46,35% of the cost of project
22,Rajasthan,7,4480,1097.48,35% of the cost of project
23,Sikkim,0,0,0,
24,Tamil Nadu,7,14000,3166.2,35% of the cost of project
25,Telangana,1,700,176.28,"35% with a ceiling of Rs. 350.00 Lakh (General) and 50% with a ceiling of Rs. 500.00 Lakh (SC, ST, Small & Marginal Farmer, women and NE States)"
26,Tripura,0,0,0,
27,Uttar Pradesh,40,12740,3835.36,35% of the cost of project
28,Uttarakhand,4,1740,507.15,35% of the cost of project
29,West Bengal,22,18320,4833.44,35% of the cost of project
,Union Territory,,,,
30,A&N Islands,0,0,0,
31,Chandigarh,0,0,0,
32,Dadra and Nagar Haveli,0,0,0,
33,Daman & Diu,0,0,0,
34,Lakshadweep,0,0,0,
35,Puducherry,0,0,0,
36,Ladakh,0,0,0,
,Total,183,133640.1,36135.06,
,,,2019-20,,
1,Andhra Pradesh,9,15000,3424.62,35% with a ceiling of Rs. 350.00 Lakh
2,Arunachal Pradesh,1,400,136.21,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
3,Bihar,50,31400,10348.86,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
4,Chhattisgarh,11,3190,896.85,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
5,Delhi,0,0,0,
6,Goa,0,0,0,
7,Gujarat,11,18050,4403.76,35% with a ceiling of Rs. 350.00 Lakh
8,Haryana,2,630,204.15,35% with a ceiling of Rs. 350.00 Lakh
9,Himachal Pradesh,1,500,134.24,35% of the cost of project
10,Jammu & Kashmir,0,0,0,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
11,Jharkhand,0,0,0,
12,Karnataka,0,0,0,
13,Kerala,0,0,0,
14,Madhya Pradesh,7,4500,1137.88,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
15,Maharashtra,25,19300,5052.88,35% of the cost of project
16,Manipur,0,0,0,
17,Meghalaya,0,0,0,
18,Mizoram,0,0,0,
19,Nagaland,0,0,0,
20,Odisha,0,0,0,
21,Punjab,1,5000,956.93,35% of the cost of project
22,Rajasthan,10,6750,1737.54,35% of the cost of project
23,Sikkim,0,0,0,
24,Tamil Nadu,3,7350,1771.46,35% of the cost of project
25,Telangana,2,1400,430.89,"35% with a ceiling of Rs. 350.00 Lakh (General) and 50% with a ceiling of Rs. 500.00 Lakh (SC, ST, Small & Marginal Farmer, women and NE States)"
26,Tripura,0,0,0,
27,Uttar Pradesh,19,9350,2693.88,35% of the cost of project
28,Uttarakhand,4,2150,525.81,35% of the cost of project
29,West Bengal,24,20100,5273.95,35% of the cost of project
,Union Territory,,,,
30,A&N Islands,0,0,0,
31,Chandigarh,0,0,0,
32,Dadra and Nagar Haveli,0,0,0,
33,Daman & Diu,0,0,0,
34,Lakshadweep,0,0,0,
35,Puducherry,0,0,0,
36,Ladakh,0,0,0,
,Total,180,145070,39129.91,
,,,2020-21,,
1,Andhra Pradesh,1,5000,1002.95,35% with a ceiling of Rs. 350.00 Lakh
2,Arunachal Pradesh,1,500,158.34,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
3,Bihar,11,9450,3099.28,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
4,Chhattisgarh,20,4300,1252.2,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
5,Delhi,0,0,0,
6,Goa,0,0,0,
7,Gujarat,6,5550,1438.94,35% with a ceiling of Rs. 350.00 Lakh
8,Haryana,1,1000,348.48,35% with a ceiling of Rs. 350.00 Lakh
9,Himachal Pradesh,0,0,0,35% of the cost of project
10,Jammu & Kashmir,0,0,0,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
11,Jharkhand,0,0,0,
12,Karnataka,0,0,0,
13,Kerala,0,0,0,
14,Madhya Pradesh,6,4200,1082.49,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
15,Maharashtra,0,0,0,35% of the cost of project
16,Manipur,0,0,0,
17,Meghalaya,0,0,0,
18,Mizoram,0,0,0,
19,Nagaland,0,0,0,
20,Odisha,0,0,0,
21,Punjab,1,5000,961.21,35% of the cost of project
22,Rajasthan,5,2700,709.53,35% of the cost of project
23,Sikkim,0,0,0,
24,Tamil Nadu,1,5000,1216.26,35% of the cost of project
25,Telangana,0,0,0,"35% with a ceiling of Rs. 350.00 Lakh (General) and 50% with a ceiling of Rs. 500.00 Lakh (SC, ST, Small & Marginal Farmer, women and NE States)"
26,Tripura,0,0,0,
27,Uttar Pradesh,9,3900,1153.06,35% of the cost of project
28,Uttarakhand,0,0,0,35% of the cost of project
29,West Bengal,11,10200,2654.18,35% of the cost of project
,Union Territory,,,,
30,A&N Islands,0,0,0,
31,Chandigarh,0,0,0,
32,Dadra and Nagar Haveli,0,0,0,
33,Daman & Diu,0,0,0,
34,Lakshadweep,0,0,0,
35,Puducherry,0,0,0,
36,Ladakh,0,0,0,
,Total,73,56800,15076.92,
,,,2021-22,,
1,Andhra Pradesh,1,1000,211.69,35% with a ceiling of Rs. 350.00 Lakh
2,Arunachal Pradesh,0,0,0,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
3,Bihar,12,10250,3260.55,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
4,Chhattisgarh,19,5820,1677.22,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
5,Delhi,0,0,0,
6,Goa,0,0,0,
7,Gujarat,3,1200,326.84,35% with a ceiling of Rs. 350.00 Lakh
8,Haryana,0,0,0,35% with a ceiling of Rs. 350.00 Lakh
9,Himachal Pradesh,0,0,0,35% of the cost of project
10,Jammu & Kashmir,0,0,0,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
11,Jharkhand,0,0,0,
12,Karnataka,0,0,0,
13,Kerala,0,0,0,
14,Madhya Pradesh,2,1000,270.79,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
15,Maharashtra,0,0,0,35% of the cost of project
16,Manipur,0,0,0,
17,Meghalaya,0,0,0,
18,Mizoram,0,0,0,
19,Nagaland,0,0,0,
20,Odisha,0,0,0,
21,Punjab,1,5000,930.73,35% of the cost of project
22,Rajasthan,0,0,0,35% of the cost of project
23,Sikkim,0,0,0,
24,Tamil Nadu,1,1500,362.81,35% of the cost of project
25,Telangana,0,0,0,"35% with a ceiling of Rs. 350.00 Lakh (General) and 50% with a ceiling of Rs. 500.00 Lakh (SC, ST, Small & Marginal Farmer, women and NE States)"
26,Tripura,0,0,0,
27,Uttar Pradesh,3,1480,416.31,35% of the cost of project
28,Uttarakhand,0,0,0,35% of the cost of project
29,West Bengal,0,0,0,35% of the cost of project
,Union Territory,,,,
30,A&N Islands,0,0,0,
31,Chandigarh,0,0,0,
32,Dadra and Nagar Haveli,0,0,0,
33,Daman & Diu,0,0,0,
34,Lakshadweep,0,0,0,
35,Puducherry,0,0,0,
36,Ladakh,0,0,0,
,Total,42,27250,7456.94,
